Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
1985,Unidad Residencial El Coliseo, -, -, -,3, -, -,6,4
1984,Unidad Residencial Santiago De Cali, -, -, -,5,1, -,12,4
1603,Unión de Vivienda Popular,4,324, -, -, -, -,55,2
1105,Boyaca, -,11,36, -, -, -,2,3
697,Urbanización Calimio,8,164, -, -, -, -,149,2
2201,Urbanización Ciudad Jardín, -, -, -, -,19,120,85,6
1915,Urbanización Colseguros, -, -,4,112, -, -,17,4
706,Urbanización El Angel del Hogar,1,73, -, -, -, -,71,2
818,Urbanizacion La Nueva Base, -, -,192, -, -, -,45,3
295,Urbanización La Flora,1, -, -,43,100, -,79,5
293,Urbanización La Merced, -, -, -,140, -, -,35,4
1918,Urbanización Militar, -, -, -,9,4, -,43,4
1907,Nueva Granada, -, -, -,52,9, -,0,4
2297,Urbanización Río Lili, -,13, -, -, -,21,37,6
1796,Urbanizacion San Juaquin, -, -, -, -,21,4,61,5
1904,Urbanización Tequendama, -, -, -,22,74, -,17,5
,Rafael Uribe,,,,,,,,2
804,Uribe Uribe, -,27,20, -, -, -,2,2
1504,Vallado,11,330, -, -, -, -,106,2
2198,Valle Grande,1,242, -, -, -, -,232,2
2098,Venezuela   Urb. Cañaveralejo,51,20,1, -, -, -,53,1
208,Versalles, -, -, -,8,53, -,29,5
815,Villa Colombia, -, -,189, -, -, -,36,3
1310,Villa del Lago,11,13,220, -, -, -,178,3
599,Villa Del Prado El Guabito, -,12,361,1, -, -,387,3
595,Villa del Sol, -, -,2,11, -, -,14,4
1114,Villa del Sur, -, -,112, -, -, -,62,3
1314,Villa Blanca,6,64, -, -, -, -,23,2
2194,Villamercedes I Villa Luz Las Garzas,70, -, -, -, -, -,36,1
1201,Villanueva, -,60, -, -, -, -,4,2
294,Vipasa, -, -, -,286,1, -,98,4
102,Vista Hermosa,199,18, -, -, -, -,30,1
1390,Yira Castro,2,68,1, -, -, -,14,2
