Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
812,Atanasio Girardot, -,1,152, -, -, -,11,3
813,Santa Fe, -, -,124, -, -, -,12,3
814,Chapinero, -, -,152, -, -, -,23,3
815,Villa Colombia, -, -,189, -, -, -,36,3
816,EL Trebol, -, -,99, -, -, -,22,3
817,La Base, -,2,161, -, -, -,32,3
818,Urbanización La Base, -, -,192, -, -, -,45,3
901,Alameda, -, -,126, -, -, -,15,3
902,Bretaña, -, -,168, -, -, -,16,3
903,Junín, -, -,115, -, -, -,17,3
904,Guayaquil, -,3,242, -, -, -,23,3
905,Aranjuez, -, -,60, -, -, -,4,3
906,Manuel María Buenaventura, -, -,51, -, -, -,6,3
907,Santa Mónica Belalcazar, -, -,23, -, -, -,5,3
908,Belalcazar, -,28,128, -, -, -,41,3
909,Sucre,130,81,1, -, -, -,74,1
910,Barrio Obrero, -,145,1, -, -, -,45,2
1001,El Dorado, -, -,57, -, -, -,28,3
1002,El Guabal, -,8,344, -, -, -,73,3
1003,La Libertad, -, -,56, -, -, -,0,3
1004,Santa Elena, -,30,140, -, -, -,26,3
1005,Las Acacias, -, -,43, -, -, -,5,3
1006,Santo Domingo, -, -,54, -, -, -,2,3
1007,Jorge Zawadsky, -, -,73, -, -, -,3,3
1008,Olímpico, -, -,1,87, -, -,25,4
1009,Cristóbal Colón, -,9,260, -, -, -,20,3
,Alto De Los Chorros,,,,,,,,3
1010,La Selva, -, -,60, -, -, -,26,3
1011,Barrio Departamental, -, -,1,133,2, -,23,4
1012,Pasoancho, -, -,17,23, -, -,8,4
1013,Panamericano, -, -,120,1, -, -,11,3
1014,Colseguros Andes, -, -,20,62,1, -,43,4
1015,San Cristóbal, -, -,84, -, -, -,7,3
1016,Las Granjas, -,7,77,3, -, -,11,3
1017,San Judas Tadeo I, -,49,125, -, -, -,5,3
1018,San Judas Tadeo II, -,17,77, -, -, -,22,3
1101,Barrio San Carlos, -, -,169, -, -, -,35,3
1102,Maracaibo, -, -,24, -, -, -,0,3
1103,La Independencia, -, -,257, -, -, -,16,3
1104,La Esperanza, -,1,46, -, -, -,2,3
1105,Urbanización Boyacá , -,11,36, -, -, -,2,3
1106,El Jardín, -,4,169, -, -, -,23,3
1107,La Fortaleza, -,31,84, -, -, -,9,3
1108,El Recuerdo, -, -,44, -, -, -,7,3
1109,Aguablanca, -,15,81, -, -, -,23,3
1110,El Prado, -,2,16, -, -, -,9,3
1111,20 de Julio, -, -,35, -, -, -,8,3
1112,Prados de Oriente, -, -,78, -, -, -,17,3
1113,Los Sauces,1,2,119, -, -, -,29,3
1114,Villa del Sur, -, -,112, -, -, -,62,3
1115,José Holguín Garcés, -, -,28, -, -, -,11,3
1116,León XIII, -,106, -, -, -, -,6,2
1117,José María Cordoba, -, -,27, -, -, -,9,3
1118,San Pedro Claver, -,105, -, -, -, -,12,2
1119,Los Conquistadores,4,97, -, -, -, -,9,2
1120,La Gran Colombia, -,34, -, -, -, -,6,2
1121,San Benito, -,60, -, -, -, -,7,2
1122,Primavera, -,71,62, -, -, -,34,2
1201,Villanueva, -,60, -, -, -, -,4,2
1202,Asturias, -,72, -, -, -, -,12,2
1203,Eduardo Santos, -,68, -, -, -, -,6,2
1204,Barrio Alfonso Barberena A., -,71, -, -, -, -,7,2
1205,El Paraiso, -, -,52, -, -, -,8,3
1206,Fenalco Kennedy, -, -,50, -, -, -,12,3
1207,Nueva Floresta, -,3,514, -, -, -,82,3
1208,Julio Rincón, -,32,1, -, -, -,22,2
2099,La Sultana,132, -, -, -, -, -,37,1
1209,Doce de Octubre, -,18,35, -, -, -,19,3
1210,El Rodeo, -,226, -, -, -, -,14,2
1211,Sindical, -,1,62, -, -, -,5,3
1212,Bello Horizonte, -, -,16, -, -, -, -,3
1301,Ulpiano Lloreda, -,110, -, -, -, -,32,2
1302,El Vergel,377, -, -, -, -, -,49,1
1303,El Poblado,9,211, -, -, -, -,72,2
1304,El Poblado II,105,234, -, -, -, -,62,2
1305,Los Comuneros II Etapa,2,173, -, -, -, -,77,2
1306,Ricardo Balcazar, -,97, -, -, -, -,22,2
1307,Omar Torrijos,4,109, -, -, -, -,26,2
1308,El Diamante,4,234, -, -, -, -,10,2
1309,Lleras Restrepo, -,26, -, -, -, -,9,2
1310,Villa del Lago,11,13,220, -, -, -,178,3
1311,Los Robles,5,116, -, -, -, -,42,2
1312,Rodrigo Lara Bonilla,23,80, -, -, -, -,9,2
1313,Charco Azul,106,23, -, -, -, -,15,1
1314,Villablanca,6,64, -, -, -, -,23,2
1315,Calypso,3,10,84, -, -, -,91,3
1390,Yira Castro,2,68,1, -, -, -,14,2
1393,Lleras Restrepo II Etapa,22,8, -, -, -, -,8,1
1394,Marroquín III,16,71, -, -, -, -,36,2
1395,Los Lagos,5,219, -, -, -, -,43,2
1397,Sector Laguna del Pondaje,67,29, -, -, -, -,45,1
1398,El Pondaje,5,53, -, -, -, -,45,2
1399,Sect. Asprosocial   Diamante, -,30,8, -, -, -,19,2
1401,Alfonso Bonilla Aragón,480, -, -, -, -, -,201,1
1402,Alirio Mora Beltran,67,320, -, -, -, -,42,2
1403,Manuela Beltran,387, -, -, -, -, -,187,1
1404,Las Orquídeas,202, -, -, -, -, -,67,1
1405,José M. Marroquin II Etapa,179,197, -, -, -, -,152,2
1406,José M. Marroquin I Etapa,121,364, -, -, -, -,196,2
1495,Puerta del Sol,74, -, -, -, -, -,44,1
1496,Los Naranjos I,78, -, -, -, -, -,18,1
1498,Promociones Populares B,560,-, -, -, -, -,192,1
1499,Los Naranjos II,176, -, -, -, -, -,65,1
